property_id,address,neighbourhood,ward,assessed_value,garage,latitude,longitude,lot_size_sf,total_living_area_sf,year_built,land_value,improvement_value,bedrooms,bathrooms,basement,property_type,property_use,building_age,price_per_sqft,land_to_building_ratio,annual_tax
10000028,"178 MACEWAN ROAD SW Edmonton, AB",MACEWAN,Ipiihkoohkanipiaohtsi Ward,432000,Y,53.42926834,-113.5227521,363.815,142,2004,151200,280800,4,2,Finished,Row Housing,Residential,21,3042.253521,2.562077465,5184
10000029,"180 MACEWAN ROAD SW Edmonton, AB",MACEWAN,Ipiihkoohkanipiaohtsi Ward,475500,Y,53.42926833,-113.5229085,363.829,179.1,2004,166425,309075,4,2.5,Partially Finished,Single Family Home,Residential,21,2654.941374,2.031429369,5706
10000030,"182 MACEWAN ROAD SW Edmonton, AB",MACEWAN,Ipiihkoohkanipiaohtsi Ward,462000,Y,53.42926832,-113.5230762,397.633,173.7,2005,161700,300300,4,2.5,Partially Finished,Single Family Home,Owner Occupied,20,2659.758204,2.289194013,5544
10000031,"1003 MACEWAN CLOSE SW Edmonton, AB",MACEWAN,Ipiihkoohkanipiaohtsi Ward,458000,Y,53.42947497,-113.5229024,384.929,129.3,2004,160300,297700,4,2.5,Finished,Single Family Home,Residential,21,3542.150039,2.977022428,5496
10000032,"1005 MACEWAN CLOSE SW Edmonton, AB",MACEWAN,Ipiihkoohkanipiaohtsi Ward,484500,Y,53.42957378,-113.5229025,384.803,169.4,2003,169575,314925,4,2.5,Partially Finished,Single Family Home,Residential,22,2860.094451,2.271564345,5814
10000033,"1007 MACEWAN CLOSE SW Edmonton, AB",MACEWAN,Ipiihkoohkanipiaohtsi Ward,514500,Y,53.42967528,-113.5229026,405.771,175.7,2004,180075,334425,4,2.5,Finished,Single Family Home,Residential,21,2928.286853,2.309453614,6174
10000034,"1009 MACEWAN CLOSE SW Edmonton, AB",MACEWAN,Ipiihkoohkanipiaohtsi Ward,458500,Y,53.42977678,-113.5229027,384.761,136,2004,160475,298025,4,2.5,Finished,Condominium,Residential,21,3371.323529,2.829125,5502
10000035,"1011 MACEWAN CLOSE SW Edmonton, AB",MACEWAN,Ipiihkoohkanipiaohtsi Ward,469000,Y,53.42987829,-113.5229028,405.726,163,2003,164150,304850,4,2.5,Partially Finished,Single Family Home,Residential,22,2877.300613,2.489116564,5628
10000036,"1013 MACEWAN CLOSE SW Edmonton, AB",MACEWAN,Ipiihkoohkanipiaohtsi Ward,447500,Y,53.42998247,-113.5229029,405.704,150.5,2004,156625,290875,4,2,None,Single Family Home,Residential,21,2973.421927,2.695707641,5370
10000037,"1015 MACEWAN CLOSE SW Edmonton, AB",MACEWAN,Ipiihkoohkanipiaohtsi Ward,488500,Y,53.43008397,-113.522903,384.699,153.1,2004,170975,317525,4,2.5,Partially Finished,Single Family Home,Owner Occupied,21,3190.725016,2.512730242,5862
10000038,"1017 MACEWAN CLOSE SW Edmonton, AB",MACEWAN,Ipiihkoohkanipiaohtsi Ward,451500,Y,53.43018548,-113.5229031,405.659,136,2004,158025,293475,4,2.5,Unfinished,Single Family Home,Residential,21,3319.852941,2.982786765,5418
10000039,"1019 MACEWAN CLOSE SW Edmonton, AB",MACEWAN,Ipiihkoohkanipiaohtsi Ward,529500,Y,53.43028967,-113.5229032,405.636,194.9,2003,185325,344175,4,2.5,Partially Finished,Duplex,Owner Occupied,22,2716.777835,2.081251924,6354
10000040,"1021 MACEWAN CLOSE SW Edmonton, AB",MACEWAN,Ipiihkoohkanipiaohtsi Ward,448500,Y,53.43039117,-113.5229033,384.635,153.4,2003,156975,291525,4,2,Partially Finished,Duplex,Residential,22,2923.728814,2.507398957,5382
10000041,"1023 MACEWAN CLOSE SW Edmonton, AB",MACEWAN,Ipiihkoohkanipiaohtsi Ward,402500,Y,53.43049267,-113.5229034,405.593,82.7,2004,140875,261625,4,2,Partially Finished,Condominium,Residential,21,4866.989117,4.904389359,4830
10000042,"1025 MACEWAN CLOSE SW Edmonton, AB",MACEWAN,Ipiihkoohkanipiaohtsi Ward,452500,Y,53.43059686,-113.5229035,404.29,152.3,2004,158375,294125,4,2.5,Partially Finished,Single Family Home,Residential,21,2971.109652,2.654563362,5430
10000043,"1027 MACEWAN CLOSE SW Edmonton, AB",MACEWAN,Ipiihkoohkanipiaohtsi Ward,477000,Y,53.43070992,-113.5228979,388.799,162.1,2004,166950,310050,4,2.5,Unfinished,Duplex,Residential,21,2942.628007,2.398513263,5724
10000044,"1029 MACEWAN CLOSE SW Edmonton, AB",MACEWAN,Ipiihkoohkanipiaohtsi Ward,489000,Y,53.4308544,-113.5228779,452.834,175,2004,171150,317850,4,2.5,Unfinished,Single Family Home,Owner Occupied,21,2794.285714,2.587622857,5868
10000045,"1031 MACEWAN CLOSE SW Edmonton, AB",MACEWAN,Ipiihkoohkanipiaohtsi Ward,536500,Y,53.4309849,-113.5229154,748.187,174.3,2003,187775,348725,4,2.5,Unfinished,Duplex,Residential,22,3078.026391,4.292524383,6438
10000046,"1033 MACEWAN CLOSE SW Edmonton, AB",MACEWAN,Ipiihkoohkanipiaohtsi Ward,494500,Y,53.43102293,-113.523084,516.905,172.9,2003,173075,321425,4,2.5,Partially Finished,Single Family Home,Residential,22,2860.034702,2.989618276,5934
10000047,"1035 MACEWAN CLOSE SW Edmonton, AB",MACEWAN,Ipiihkoohkanipiaohtsi Ward,508000,Y,53.43107603,-113.5234751,643.505,119.1,2004,177800,330200,4,2.5,Unfinished,Duplex,Residential,21,4265.323258,5.403064652,6096
10000048,"1032 MACEWAN CLOSE SW Edmonton, AB",MACEWAN,Ipiihkoohkanipiaohtsi Ward,547000,Y,53.43098895,-113.5237149,634.124,191.4,2004,191450,355550,4,2.5,Finished,Row Housing,Rental Property,21,2857.889237,3.31308255,6564
10000049,"1030 MACEWAN CLOSE SW Edmonton, AB",MACEWAN,Ipiihkoohkanipiaohtsi Ward,482500,Y,53.43084582,-113.5237675,456.505,156.2,2004,168875,313625,4,2.5,Unfinished,Townhouse,Residential,21,3088.988476,2.922567222,5790
10000050,"1028 MACEWAN CLOSE SW Edmonton, AB",MACEWAN,Ipiihkoohkanipiaohtsi Ward,500500,Y,53.43069818,-113.5237234,405.427,175.7,2003,175175,325325,4,2.5,Unfinished,Single Family Home,Investment Property,22,2848.605578,2.307495731,6006
10000051,"1026 MACEWAN CLOSE SW Edmonton, AB",MACEWAN,Ipiihkoohkanipiaohtsi Ward,485000,Y,53.43058347,-113.5236968,389.18,127.6,2004,169750,315250,4,2.5,Partially Finished,Single Family Home,Residential,21,3800.940439,3.05,5820
10000052,"1024 MACEWAN CLOSE SW Edmonton, AB",MACEWAN,Ipiihkoohkanipiaohtsi Ward,503500,Y,53.43048197,-113.5236858,406.133,175.4,2004,176225,327275,4,2.5,Partially Finished,Single Family Home,Residential,21,2870.581528,2.315467503,6042
10000053,"1022 MACEWAN CLOSE SW Edmonton, AB",MACEWAN,Ipiihkoohkanipiaohtsi Ward,479500,Y,53.43038046,-113.5236857,385.105,166.8,2004,167825,311675,4,2.5,Unfinished,Single Family Home,Residential,21,2874.70024,2.308782974,5754
10000054,"1020 MACEWAN CLOSE SW Edmonton, AB",MACEWAN,Ipiihkoohkanipiaohtsi Ward,488500,Y,53.43027896,-113.5236856,406.087,128.7,2004,170975,317525,4,2.5,None,Single Family Home,Residential,21,3795.648796,3.155299145,5862
10000055,"1018 MACEWAN CLOSE SW Edmonton, AB",MACEWAN,Ipiihkoohkanipiaohtsi Ward,468500,Y,53.43017745,-113.5236855,385.061,153.8,2003,163975,304525,4,2.5,Finished,Single Family Home,Residential,22,3046.163849,2.503647594,5622
10000056,"1016 MACEWAN CLOSE SW Edmonton, AB",MACEWAN,Ipiihkoohkanipiaohtsi Ward,483500,Y,53.43007863,-113.5236854,385.04,167.3,2004,169225,314275,4,2.5,Partially Finished,Duplex,Residential,21,2890.017932,2.301494322,5802
10000057,"1014 MACEWAN CLOSE SW Edmonton, AB",MACEWAN,Ipiihkoohkanipiaohtsi Ward,442500,Y,53.42997712,-113.5236853,406.02,122.9,2003,154875,287625,4,2,Finished,Single Family Home,Residential,22,3600.488202,3.303661513,5310
10000058,"1012 MACEWAN CLOSE SW Edmonton, AB",MACEWAN,Ipiihkoohkanipiaohtsi Ward,525500,Y,53.42987559,-113.5236852,384.996,222.8,2003,183925,341575,4,2.5,Partially Finished,Row Housing,Residential,22,2358.617594,1.727989228,6306
10000059,"1010 MACEWAN CLOSE SW Edmonton, AB",MACEWAN,Ipiihkoohkanipiaohtsi Ward,431500,Y,53.42977677,-113.5236851,384.976,136,2003,151025,280475,4,2,Partially Finished,Single Family Home,Residential,22,3172.794118,2.830705882,5178
10000060,"1008 MACEWAN CLOSE SW Edmonton, AB",MACEWAN,Ipiihkoohkanipiaohtsi Ward,492000,Y,53.42967526,-113.523685,405.951,179.7,2004,172200,319800,4,2.5,None,Single Family Home,Residential,21,2737.896494,2.259048414,5904
10000061,"1006 MACEWAN CLOSE SW Edmonton, AB",MACEWAN,Ipiihkoohkanipiaohtsi Ward,462000,Y,53.42957375,-113.5236849,384.933,150.5,2003,161700,300300,4,2.5,Finished,Single Family Home,Residential,22,3069.767442,2.557694352,5544
10000062,"1004 MACEWAN CLOSE SW Edmonton, AB",MACEWAN,Ipiihkoohkanipiaohtsi Ward,485000,Y,53.4294749,-113.5236848,385.401,127.6,2003,169750,315250,4,2.5,Partially Finished,Single Family Home,Rental Property,22,3800.940439,3.020384013,5820
10000063,"177 MACEWAN ROAD SW Edmonton, AB",MACEWAN,Ipiihkoohkanipiaohtsi Ward,451000,Y,53.4287743,-113.5226761,384.767,149.9,2003,157850,293150,4,2.5,Unfinished,Single Family Home,Residential,22,3008.672448,2.56682455,5412
10000066,"7606 166A AVENUE NW Edmonton, AB",MAYLIEWAN,tastawiyiniwak Ward,411000,Y,53.62839108,-113.4599967,492.907,122.1,2003,143850,267150,4,2,Partially Finished,Single Family Home,Residential,22,3366.093366,4.036912367,4932
10000067,"7610 166A AVENUE NW Edmonton, AB",MAYLIEWAN,tastawiyiniwak Ward,398000,Y,53.62839123,-113.4602271,390.317,117.3,2002,139300,258700,3,2,None,Condominium,Residential,23,3393.009378,3.327510656,4776
10000068,"7614 166A AVENUE NW Edmonton, AB",MAYLIEWAN,tastawiyiniwak Ward,427500,Y,53.62839138,-113.4604228,390.317,142.8,2002,149625,277875,4,2,Finished,Condominium,Residential,23,2993.697479,2.733312325,5130
10000069,"7618 166A AVENUE NW Edmonton, AB",MAYLIEWAN,tastawiyiniwak Ward,386000,Y,53.62839241,-113.4606185,390.67,117.3,2002,135100,250900,3,2,Unfinished,Single Family Home,Residential,23,3290.707587,3.330520034,4632
10000071,"7706 166A AVENUE NW Edmonton, AB",MAYLIEWAN,tastawiyiniwak Ward,430000,Y,53.62840002,-113.46101,408.656,165.4,2002,150500,279500,4,2,Unfinished,Duplex,Residential,23,2599.758162,2.470713422,5160
10000072,"7710 166A AVENUE NW Edmonton, AB",MAYLIEWAN,tastawiyiniwak Ward,410500,Y,53.62840283,-113.4612058,418.738,124.2,2003,143675,266825,4,2,Partially Finished,Condominium,Residential,22,3305.152979,3.371481481,4926
10000073,"7714 166A AVENUE NW Edmonton, AB",MAYLIEWAN,tastawiyiniwak Ward,468000,Y,53.62840299,-113.4614015,421.496,160.3,2003,163800,304200,4,2.5,Partially Finished,Condominium,Rental Property,22,2919.525889,2.629419838,5616
10000074,"7718 166A AVENUE NW Edmonton, AB",MAYLIEWAN,tastawiyiniwak Ward,416500,Y,53.62840314,-113.4615972,421.495,109.5,2002,145775,270725,4,2,Unfinished,Single Family Home,Residential,23,3803.652968,3.849269406,4998
10000075,"7806 166A AVENUE NW Edmonton, AB",MAYLIEWAN,tastawiyiniwak Ward,416000,Y,53.6284033,-113.461793,421.496,117.3,2003,145600,270400,4,2,Partially Finished,Single Family Home,Residential,22,3546.462063,3.593316283,4992
10000076,"7810 166A AVENUE NW Edmonton, AB",MAYLIEWAN,tastawiyiniwak Ward,443500,Y,53.62840346,-113.4619887,421.495,165.4,2002,155225,288275,4,2,Partially Finished,Single Family Home,Residential,23,2681.378476,2.548337364,5322
10000077,"7814 166A AVENUE NW Edmonton, AB",MAYLIEWAN,tastawiyiniwak Ward,415000,Y,53.62840361,-113.4621844,421.495,123.9,2002,145250,269750,4,2,Unfinished,Single Family Home,Owner Occupied,23,3349.475383,3.401896691,4980
10000078,"7818 166A AVENUE NW Edmonton, AB",MAYLIEWAN,tastawiyiniwak Ward,426000,Y,53.62840377,-113.4623802,421.495,110.1,2003,149100,276900,4,2,Partially Finished,Condominium,Owner Occupied,22,3869.209809,3.828292461,5112
10000079,"7822 166A AVENUE NW Edmonton, AB",MAYLIEWAN,tastawiyiniwak Ward,473500,Y,53.62840392,-113.4625759,421.496,153.7,2003,165725,307775,4,2.5,Finished,Row Housing,Residential,22,3080.676643,2.742329213,5682
10000080,"7906 166A AVENUE NW Edmonton, AB",MAYLIEWAN,tastawiyiniwak Ward,482000,Y,53.62840408,-113.4627716,421.496,154,2003,168700,313300,4,2.5,Partially Finished,Condominium,Rental Property,22,3129.87013,2.736987013,5784
10000081,"7910 166A AVENUE NW Edmonton, AB",MAYLIEWAN,tastawiyiniwak Ward,438000,Y,53.62840423,-113.4629673,421.495,119.6,2004,153300,284700,4,2,Finished,Single Family Home,Residential,21,3662.207358,3.524205686,5256
10000082,"7914 166A AVENUE NW Edmonton, AB",MAYLIEWAN,tastawiyiniwak Ward,408500,Y,53.62840438,-113.4631631,421.496,109.5,2002,142975,265525,4,2,Unfinished,Single Family Home,Residential,23,3730.593607,3.849278539,4902
10000083,"7918 166A AVENUE NW Edmonton, AB",MAYLIEWAN,tastawiyiniwak Ward,430500,Y,53.62840454,-113.4633588,421.495,112.1,2003,150675,279825,4,2,Partially Finished,Single Family Home,Residential,22,3840.321142,3.759991079,5166
10000084,"7922 166A AVENUE NW Edmonton, AB",MAYLIEWAN,tastawiyiniwak Ward,432000,Y,53.62840469,-113.4635545,421.496,155.3,2003,151200,280800,4,2,Finished,Duplex,Owner Occupied,22,2781.712814,2.714075982,5184
10000085,"7926 166A AVENUE NW Edmonton, AB",MAYLIEWAN,tastawiyiniwak Ward,434000,Y,53.62840484,-113.4637502,421.496,125.7,2003,151900,282100,4,2,Unfinished,Condominium,Residential,22,3452.665076,3.353190135,5208
10000086,"8006 166A AVENUE NW Edmonton, AB",MAYLIEWAN,tastawiyiniwak Ward,421500,Y,53.628405,-113.463946,421.496,111.4,2003,147525,273975,4,2,Partially Finished,Single Family Home,Residential,22,3783.662478,3.783626571,5058
10000087,"8010 166A AVENUE NW Edmonton, AB",MAYLIEWAN,tastawiyiniwak Ward,437500,Y,53.62840515,-113.4641417,421.495,116.3,2002,153125,284375,4,2,Partially Finished,Single Family Home,Residential,23,3761.822872,3.624204643,5250
10000088,"8014 166A AVENUE NW Edmonton, AB",MAYLIEWAN,tastawiyiniwak Ward,449500,Y,53.6284053,-113.4643374,421.496,139.7,2002,157325,292175,4,2,Finished,Single Family Home,Rental Property,23,3217.609162,3.017151038,5394
10000090,"8018 166A AVENUE NW Edmonton, AB",MAYLIEWAN,tastawiyiniwak Ward,413500,Y,53.62840545,-113.4645331,421.495,116.4,2002,144725,268775,4,2,Partially Finished,Single Family Home,Residential,23,3552.405498,3.621091065,4962
10000096,"16120 129 STREET NW Edmonton, AB",OXFORD,Anirniq Ward,431500,Y,53.62332389,-113.5451439,409.819,157.9,2002,151025,280475,4,2,Finished,Single Family Home,Residential,23,2732.742242,2.595433819,5178
10000097,"16124 129 STREET NW Edmonton, AB",OXFORD,Anirniq Ward,432000,Y,53.62337309,-113.5452834,425.817,98.2,2003,151200,280800,4,2,Unfinished,Row Housing,Residential,22,4399.185336,4.336221996,5184
10000098,"16113 129A STREET NW Edmonton, AB",OXFORD,Anirniq Ward,427500,Y,53.62312205,-113.5453296,420.04,99,2002,149625,277875,4,2,Partially Finished,Duplex,Residential,23,4318.181818,4.242828283,5130
10000099,"16109 129A STREET NW Edmonton, AB",OXFORD,Anirniq Ward,434500,Y,53.62294158,-113.5452568,739.482,85.9,2003,152075,282425,4,2,Partially Finished,Condominium,Residential,22,5058.207218,8.608637951,5214
10000100,"16105 129A STREET NW Edmonton, AB",OXFORD,Anirniq Ward,537000,Y,53.6229016,-113.5453798,646.092,210,2002,187950,349050,4,2.5,Finished,Single Family Home,Residential,23,2557.142857,3.076628571,6444
10000101,"12905 161A AVENUE NW Edmonton, AB",OXFORD,Anirniq Ward,450500,Y,53.62287473,-113.5456221,447.106,120.1,2003,157675,292825,4,2.5,Partially Finished,Row Housing,Residential,22,3751.040799,3.722781016,5406
10000102,"12909 161A AVENUE NW Edmonton, AB",OXFORD,Anirniq Ward,422000,Y,53.62287107,-113.5458452,354.665,142.4,2003,147700,274300,4,2,Partially Finished,Single Family Home,Residential,22,2963.483146,2.490625,5064
10000103,"12913 161A AVENUE NW Edmonton, AB",OXFORD,Anirniq Ward,434000,Y,53.62287164,-113.5460147,348.123,114.6,2003,151900,282100,4,2,None,Single Family Home,Residential,22,3787.085515,3.037722513,5208
10000104,"12917 161A AVENUE NW Edmonton, AB",OXFORD,Anirniq Ward,476500,Y,53.62287172,-113.5461718,348.247,156.9,2002,166775,309725,4,2.5,None,Townhouse,Residential,23,3036.966221,2.219547482,5718
10000105,"12921 161A AVENUE NW Edmonton, AB",OXFORD,Anirniq Ward,424500,Y,53.62287181,-113.546329,348.244,114.8,2002,148575,275925,4,2,Finished,Condominium,Residential,23,3697.735192,3.033484321,5094
10000106,"12925 161A AVENUE NW Edmonton, AB",OXFORD,Anirniq Ward,421000,Y,53.62287189,-113.5464862,348.243,142.4,2003,147350,273650,4,2,Unfinished,Single Family Home,Residential,22,2956.460674,2.445526685,5052
10000107,"16205 129A STREET NW Edmonton, AB",OXFORD,Anirniq Ward,455500,Y,53.62364363,-113.5447352,428.213,169.1,2003,159425,296075,4,2.5,Finished,Duplex,Residential,22,2693.672383,2.532306328,5466
10000108,"16209 129A STREET NW Edmonton, AB",OXFORD,Anirniq Ward,551500,Y,53.62369571,-113.544541,493.924,198.4,2003,193025,358475,4,2.5,Partially Finished,Single Family Home,Residential,22,2779.737903,2.48953629,6618
10000109,"16213 129A STREET NW Edmonton, AB",OXFORD,Anirniq Ward,466500,Y,53.62376119,-113.5444887,547.099,119.1,2003,163275,303225,4,2.5,Finished,Condominium,Rental Property,22,3916.876574,4.593610411,5598
10000110,"16217 129A STREET NW Edmonton, AB",OXFORD,Anirniq Ward,420000,Y,53.62391568,-113.5445038,358.866,143.9,2002,147000,273000,4,2,Partially Finished,Condominium,Residential,23,2918.693537,2.493856845,5040
10000111,"16221 129A STREET NW Edmonton, AB",OXFORD,Anirniq Ward,427500,Y,53.62401883,-113.5445489,375.354,98.3,2003,149625,277875,4,2,Partially Finished,Single Family Home,Owner Occupied,22,4348.931841,3.818453713,5130
10000112,"16225 129A STREET NW Edmonton, AB",OXFORD,Anirniq Ward,421000,Y,53.62411226,-113.5445615,392.978,140.3,2002,147350,273650,4,2,Partially Finished,Duplex,Residential,23,3000.712758,2.800983607,5052
10000113,"16229 129A STREET NW Edmonton, AB",OXFORD,Anirniq Ward,418500,Y,53.62420568,-113.5445682,384.664,98.3,2003,146475,272025,4,2,Partially Finished,Condominium,Residential,22,4257.375381,3.913163784,5022
10000114,"16233 129A STREET NW Edmonton, AB",OXFORD,Anirniq Ward,424000,Y,53.62429911,-113.5445746,374.51,142.4,2003,148400,275600,4,2,None,Single Family Home,Owner Occupied,22,2977.52809,2.629985955,5088
10000115,"16237 129A STREET NW Edmonton, AB",OXFORD,Anirniq Ward,485000,Y,53.62439496,-113.544581,382.96,176.8,2003,169750,315250,4,2.5,Partially Finished,Single Family Home,Residential,22,2743.21267,2.166063348,5820
10000116,"16241 129A STREET NW Edmonton, AB",OXFORD,Anirniq Ward,462500,Y,53.62449324,-113.5445877,369.717,170.7,2003,161875,300625,4,2.5,Finished,Single Family Home,Residential,22,2709.431752,2.165887522,5550
10000117,"16245 129A STREET NW Edmonton, AB",OXFORD,Anirniq Ward,447000,Y,53.62462772,-113.5445783,433.051,147.1,2003,156450,290550,4,2,Finished,Duplex,Residential,22,3038.74915,2.943922502,5364
10000118,"16249 129A STREET NW Edmonton, AB",OXFORD,Anirniq Ward,492000,Y,53.62480309,-113.5446057,693.186,127,2003,172200,319800,4,2.5,Partially Finished,Townhouse,Residential,22,3874.015748,5.45815748,5904
10000119,"12906 162A AVENUE NW Edmonton, AB",OXFORD,Anirniq Ward,546000,Y,53.6248311,-113.5446512,696.356,177.5,2003,191100,354900,4,2.5,Partially Finished,Single Family Home,Residential,22,3076.056338,3.923132394,6552
10000120,"12910 162A AVENUE NW Edmonton, AB",OXFORD,Anirniq Ward,495000,Y,53.6248481,-113.5449483,427.946,184.9,2002,173250,321750,4,2.5,Finished,Single Family Home,Rental Property,23,2677.122769,2.314472688,5940
10000121,"12914 162A AVENUE NW Edmonton, AB",OXFORD,Anirniq Ward,465000,Y,53.62484486,-113.5451673,346.383,114.6,2003,162750,302250,4,2.5,Finished,Single Family Home,Residential,22,4057.591623,3.022539267,5580
